time,node,start,end
60,"[5540134344, 4634458114, 3968872959, 6077982441, 6077982439, 6077982438, 6077982448, 6077982447, 7712664005, 6077982445, 6077982443, 436847411, 3969143356, 436847410, 6110920583, 3969015056, 4864256203, 4864256198, 4864256205, 8247026945, 5343005483, 8247026977, 8247026978, 8247026975, 5343005480, 5343005484, 5343005480, 697232797, 5343005470, 4641802061, 3969143335, 4079631475, 4079631487, 5551904035, 4079631506, 4079631499, 420450813, 420450808, 5100101377, 420450800, 5551903411, 420450804, 5608611406, 5608611415, 420450805, 5608611402, 436816081, 5624709473, 5635283399, 5101432040, 5101432041, 7966908245, 7966908252, 7966908238, 7966908237, 5578497789, 5104520886, 5104520896, 4631924184, 5102780795, 4641219050, 5104520884, 4641219048, 5124032461]",5540131915,5124032461
60,"[6081092172, 6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 8018738414, 8018744489, 8018744504, 8018738413, 5537917652, 5101375616, 5101376621, 5102532657, 7966948669, 8961975512, 5102532653, 5539961477, 5624667080, 5124333090, 5124333091, 5088770327, 5102781061, 5102781100, 5102781104, 5102781089, 8018704524, 5102781088, 4631924262, 7902720998, 7902709799, 5101448658, 5647988382, 5527375035, 5527438746, 4655013510, 4655013508, 5528099329, 5528099328, 4664304787, 5538023842, 5550663706, 5528099326, 4655013473, 5527375028, 4655013499, 5537551992, 5537552027, 4655013486, 5540029761, 5540029782, 4655013484, 5586151421, 5586151420, 5586151430, 3022042837, 5586151432, 3022042837, 5586151430, 5586151420, 5586151416, 414665144, 5586151427, 5537488341, 436859404, 436859403, 5537552020, 5537552018, 5540029763, 5552097585, 9221188578, 9221188590, 9221188592, 5552080950, 5550586990, 5527437607, 5527437605, 4864255606, 5102781027, 8961943634, 7966916994, 7966899583, 7966916995, 7966916993, 7966899581, 7966899580, 5537917712, 7902827748, 7902827749, 7902827750, 5527375037, 7966949118, 4631924261, 4631924182, 5124032461]",5540131915,5124032461
60,"[6081092172, 6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 8018738414, 8018744489, 8018744504, 8018738413, 5537917652, 5101375616, 5101376621, 5102532657, 5089093535, 8018738391, 7660329724, 5088770325, 5100252697, 5101342266, 8237161627, 8237161638, 4641219293, 4631924229, 5258666422, 5258665413, 8018704521, 4631924245, 5647912226, 5537917661, 4631924178, 7902827751, 5102781037, 5527375036, 5539961442, 5102781035, 5102781032, 8138536729, 7902827747, 7902831606, 5102781031, 5527437602, 4641219031, 5527438726, 5550560491, 5550663716, 8961943634, 5102781027, 4864255606, 5527437605, 5527437607, 5550586990, 5552080950, 9221188587, 9221188575, 436859402, 697238396, 436859402, 9221188575, 9221188587, 5552080950, 5550586990, 5527437607, 5527437605, 4864255606, 5102781027, 8961943634, 7966916994, 7966899583, 7966916995, 7966916993, 7966899581, 7966899580, 5537917712, 7902827748, 7902827749, 7902827750, 5527375037, 7966949118, 4631924261, 4631924182, 5124032461]",5540131915,5124032461
60,"[6081092172, 6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 8018738414, 8018744489, 8018744504, 8018738413, 5537917652, 5101375616, 5101376621, 5102532657, 5089093535, 8018738391, 7660329724, 5088770325, 5100252697, 5101342266, 8237161627, 8237161638, 4641219293, 4641219300, 7967059625, 4641219300, 7967059626, 4631924241, 5091023259, 4641213982, 5624667035, 5100252921, 5102781045, 5537488444, 5102781043, 5101376663, 4631924256, 5102781108, 5102781107, 5102781023, 5102781024, 4631924268, 2964248634, 436816089, 3969143355, 4636709805, 7855930795, 5551875821, 7855930795, 4636709805, 3969143355, 436816089, 2964248634, 4631924268, 5102781024, 5102781023, 5102781107, 5102781108, 4631924256, 5101376663, 5102781043, 7966922434, 5624667034, 5091011721, 5091011220, 5635284261, 5091011216, 5091039975, 5608591572, 7966949127, 5091020036, 5091020039, 4641219049, 5102780789, 5537917657, 7966899571, 4641219050, 5104520884, 4641219048, 5124032461]",5540131915,5124032461
60,"[5540134344, 4634458114, 6081123537, 4634458115, 5095171222, 436816090, 3969143758, 4636709801, 3969143355, 4636709805, 7855930795, 5551875821, 3969143347, 8155298669, 3969143337, 3969143335, 8247026949, 7679098513, 7679098523, 7679098524, 7679098523, 7679098513, 8247026949, 3969143335, 4079631475, 4079631487, 5551904035, 4079631506, 4079631499, 420450813, 420450808, 5100101377, 420450800, 5551903411, 420450804, 5608611406, 5608611415, 420450805, 5608611402, 436816081, 5624709473, 5635283399, 5101432040, 5101432041, 7966908245, 7966908252, 7966908238, 7966908237, 5578497789, 5104520886, 5104520896, 4631924184, 5102780795, 4641219050, 5104520884, 4641219048, 5124032461]",5540131915,5124032461
60,"[6081092172, 6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 8018738414, 8018744489, 8018744504, 8018738413, 5537917652, 5101375616, 5101376621, 5102532657, 7966948669, 8961975512, 5102532653, 5539961477, 5624667080, 5124333090, 5124333091, 5088770327, 5102781061, 5102781100, 5102781104, 5102781089, 8018704524, 5102781088, 4631924262, 7902720998, 5100222104, 5537917676, 5537917678, 5537917677, 5537917678, 5537917676, 4631924263, 7902714794, 4631924245, 8018704520, 5647912223, 7967059626, 4631924241, 5091023259, 5608591572, 4631924213, 7966922418, 5104520893, 5578497792, 5104520888, 5124316811, 5101432037, 5101432039, 5101432041, 5101432040, 5635283399, 5624709473, 436816081, 5608611402, 420450805, 420450799, 4864185105, 5097528701, 4864185105, 420450799, 4864185104, 5551903405, 5551903407, 4864185108, 5551903401, 5551903403, 420450789, 4631924192, 4864256087, 5100256030, 5100256029, 5088770353, 5102780818, 5102780736, 5102780735, 5102780808, 5104520883, 5104520884, 4641219048, 5124032461]",5540131915,5124032461
60,"[6081092172, 6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 4634458126, 5537488401, 5537488402, 5095249962, 5537488405, 5095249959, 5095249958, 5095249959, 5537488405, 5095249962, 5537488402, 5537488401, 4634458126, 5095249963, 4636707472, 5586144614, 4636707473, 5095249944, 4641315447, 4641313117, 4634458138, 4636707487, 436816089, 3969143355, 4636709805, 7855930795, 5551875821, 3969143347, 8155298669, 3969143337, 3969143335, 4079631475, 4079631476, 4079631469, 4079631463, 4079631493, 4079631488, 4079631491, 4079631489, 4079631487, 5551904035, 4079631506, 4079631499, 420450813, 420450808, 5100101377, 420450800, 5551903411, 420450804, 5608611406, 5608611415, 420450805, 5608611402, 436816081, 5624709473, 5635283399, 5101432040, 5101432041, 7966908245, 7966908252, 7966908238, 7966908237, 5578497789, 5104520886, 5104520896, 4631924184, 5102780795, 4641219050, 5104520884, 4641219048, 5124032461]",5540131915,5124032461
60,"[6081092172, 6081092169, 6081092167, 6081096629, 6081092156, 5540131920, 6081092153, 6081092150, 6081092147, 5540134324, 5101341319, 5551875683, 436869939, 4635126548, 4635126556, 4635126555, 4635126554, 5586144612, 5095249960, 5095249956, 4631924274, 7856190294, 7966948661, 5537488399, 7856190292, 5537488399, 4635981460, 436835250, 5537488391, 7966972304, 5537488397, 5550570935, 5624667037, 5101448656, 7966972300, 5101448655, 7966972311, 5537488390, 3968858987, 8018719891, 4664305795, 8018700431, 4664305794, 8018697624, 3969143759, 5538023843, 436876111, 4636656284, 6661461229, 6661461242, 6661461231, 3968858976, 3968858972, 436876107, 3968858968, 4655013477, 5540029791, 4655013484, 5586151421, 5537552014, 5586151415, 5586151428, 5586151427, 5537488341, 436859404, 436859403, 5537552020, 5537552018, 5540029763, 5552097585, 9221188578, 9221188590, 9221188592, 5552080950, 5550586990, 5527437607, 5527437605, 4864255606, 5102781027, 8961943634, 7966916994, 7966899583, 7966916995, 7966916993, 7966899581, 7966899580, 5537917712, 7902827748, 7902827749, 7902827750, 5527375037, 7966949118, 4631924261, 4631924182, 5124032461]",5540131915,5124032461
60,"[5540134344, 4634458114, 3968872959, 6077982441, 7712526521, 6077982440, 6077982442, 7712663994, 5551904069, 5551904039, 5551904042, 5551904043, 5551904097, 3969016066, 3969016063, 436666385, 5551904053, 436666384, 7712664008, 436847411, 6077982443, 5095171222, 4634458115, 4634458140, 6081123540, 4636707483, 436666377, 436869939, 4635126548, 4635126557, 4649362835, 5095249963, 5095249964, 5095249968, 5095249937, 5095249945, 5095249938, 5095249945, 5095249937, 5095249967, 5095249951, 4631924271, 8018738410, 8018739021, 8018738415, 8018738414, 8018744489, 8018744504, 8018738413, 5537917652, 5101375616, 5101376621, 5102532657, 5089093535, 5089093545, 5091020048, 5091020051, 5528058804, 4631924244, 5528058805, 5528058801, 4641219076, 4641213982, 5091023259, 5608591572, 7966949127, 5091020036, 5091020039, 4641219049, 5102780789, 5537917657, 7966899571, 4641219050, 5104520884, 4641219048, 5124032461]",5540131915,5124032461
60,"[5540134344, 4634458114, 6081123537, 4634458115, 5095171222, 436816090, 3969143758, 4636709801, 3969143355, 4636709805, 7855930795, 5551875821, 3969143347, 8155298669, 3969143337, 3969143335, 4079631475, 4079631476, 4079631469, 4079631463, 4079631467, 4079631464, 4079631466, 4079631464, 4079631467, 4079631463, 4079631493, 4079631488, 4079631491, 4079631489, 4079631487, 5551904035, 4079631506, 4079631499, 420450813, 420450808, 5100101377, 420450800, 5551903411, 420450804, 5608611406, 5608611415, 420450805, 5608611402, 436816081, 5624709473, 5635283399, 5101432040, 5101432041, 7966908245, 7966908252, 7966908238, 7966908237, 5578497789, 5104520886, 5104520896, 4631924184, 5102780795, 4641219050, 5104520884, 4641219048, 5124032461]",5540131915,5124032461
